ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 3.1409637928009033 	 ACC 0.25 
LOSS 8.830123901367188 	 ACC 0.25 
LOSS 8.434446334838867 	 ACC 0.25 
LOSS 4.5963969230651855 	 ACC 0.5 
LOSS 6.648209571838379 	 ACC 0.25 
LOSS 4.194931983947754 	 ACC 0.0 
LOSS 8.681323051452637 	 ACC 0.14999999999999997 
LOSS 7.694598197937012 	 ACC 0.0 
LOSS 8.09654712677002 	 ACC 0.25 
LOSS 5.629603862762451 	 ACC 0.14999999999999997 
LOSS 7.654592037200928 	 ACC 0.25 
LOSS 4.891137599945068 	 ACC 0.0 
LOSS 6.712899208068848 	 ACC 0.3 
LOSS 4.509738445281982 	 ACC 0.25 
LOSS 7.648374557495117 	 ACC 0.39999999999999997 
LOSS 7.734821796417236 	 ACC 0.0 
LOSS 9.094143867492676 	 ACC 0.25 
LOSS 6.454911708831787 	 ACC 0.14999999999999997 
LOSS 6.059267520904541 	 ACC 0.0 
LOSS 5.880574703216553 	 ACC 0.0 
LOSS 5.848833084106445 	 ACC 0.3 
LOSS 4.525503635406494 	 ACC 0.0 
LOSS 6.529823303222656 	 ACC 0.25 
LOSS 5.647860527038574 	 ACC 0.5 
LOSS 9.115354537963867 	 ACC 0.0 
LOSS 5.978787899017334 	 ACC 0.0 
LOSS 5.922220706939697 	 ACC 0.6499999999999999 
LOSS 3.283588171005249 	 ACC 0.25 
LOSS 7.490160942077637 	 ACC 0.25 
LOSS 5.039515495300293 	 ACC 0.25 
LOSS 5.471754550933838 	 ACC 0.15 
LOSS 3.7727811336517334 	 ACC 0.0 
LOSS 5.3361029624938965 	 ACC 0.0 
LOSS 6.089179515838623 	 ACC 0.25 
LOSS 7.882175445556641 	 ACC 0.5 
LOSS 9.884944915771484 	 ACC 0.25 
LOSS 6.8979668617248535 	 ACC 0.25 
LOSS 5.102039813995361 	 ACC 0.25 
LOSS 2.832752227783203 	 ACC 0.0 
LOSS 3.596398115158081 	 ACC 0.0 
LOSS 7.281259059906006 	 ACC 0.25 
LOSS 6.2906270027160645 	 ACC 0.39999999999999997 
LOSS 7.283360481262207 	 ACC 0.25 
LOSS 6.00941276550293 	 ACC 0.0 
LOSS 5.6811628341674805 	 ACC 0.0 
